cell_type_1,cell_type_2,effect_size,p_value,mean_I_infected,mean_I_uninfected,delta_I,p_adj_fdr,significant,neg_log10_padj
CD4-Tcell_FH,CD8-Tcell_terminal,0.48515694915759977,0.0,0.48515694915759977,0.4948777095315493,-0.009720760373949533,0.0,True,300.0
CD4-Tcell_FH,CD8-Tcell_naive,0.4559433571843621,0.0,0.4559433571843621,0.51455628539035,-0.05861292820598796,0.0,True,300.0
CD4-Tcell_cytotoxic,CD8-Tcell_effector,0.4405775712104997,0.0,0.4405775712104997,0.36190131887719457,0.07867625233330511,0.0,True,300.0
CD8-Tcell_effector,Myeloid_marginalzone,0.4384338457140424,0.0,0.4384338457140424,0.323289708576622,0.11514413713742044,0.0,True,300.0
CD8-Tcell_effector,NK,0.41826421794195945,0.0,0.41826421794195945,0.33764166132780227,0.08062255661415718,0.0,True,300.0
CD4-Tcell_naive,CD8-Tcell_naive,0.4056987416433797,0.0,0.4056987416433797,0.534099077338114,-0.1284003356947343,0.0,True,300.0
CD8-Tcell_naive,CD8-Tcell_terminal,0.4015707401289509,0.0,0.4015707401289509,0.5027027623650878,-0.10113202223613693,0.0,True,300.0
CD4-Tcell_cytotoxic,CD8-Tcell_late-active,0.37493791215150984,0.0,0.37493791215150984,0.2527530944421326,0.12218481770937722,0.0,True,300.0
CD8-Tcell_effector,Fibroblast_stromal,0.3711707858892904,0.0,0.3711707858892904,0.2910882746651008,0.08008251122418963,0.0,True,300.0
CD4-Tcell_naive,CD8-Tcell_early-active,0.3557862288191529,0.0,0.3557862288191529,0.525957752244902,-0.17017152342574915,0.0,True,300.0
CD8-Tcell_effector,Myeloid_cDC1,0.33088935261390595,0.0,0.33088935261390595,0.22435962238253637,0.10652973023136958,0.0,True,300.0
CD8-Tcell_effector,Myeloid_monocyte,0.32993038753933923,0.0,0.32993038753933923,0.25207617532750143,0.0778542122118378,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_marginalzone,-0.3263966833163138,0.0,-0.3263966833163138,0.2420493395038751,-0.5684460228201889,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_migratory,0.32634172387738125,0.0,0.32634172387738125,0.3866439819542069,-0.060302258076825654,0.0,True,300.0
CD4-Tcell_naive,CD8-Tcell_terminal,0.3234048180231559,0.0,0.3234048180231559,0.4839756627899086,-0.1605708447667527,0.0,True,300.0
CD8-Tcell_effector,Erythrocyte_precursor,0.31807843347307474,0.0,0.31807843347307474,0.27091127802111387,0.047167155451960874,0.0,True,300.0
CD8-Tcell_late-active,Fibroblast_stromal,0.31563105579410067,0.0,0.31563105579410067,0.1607637578915587,0.15486729790254197,0.0,True,300.0
CD8-Tcell_effector,Myeloid_Macrophage-CXCL9/10,0.314727407343271,0.0,0.314727407343271,0.21657894461112218,0.0981484627321488,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_marginalzone,-0.3087449656946202,0.0,-0.3087449656946202,-0.0503760507873999,-0.25836891490722025,0.0,True,300.0
CD8-Tcell_late-active,Endothelial,0.30262758665192346,0.0,0.30262758665192346,0.10670520711367387,0.1959223795382496,0.0,True,300.0
CD8-Tcell_effector,Myeloid_migratory,-0.2978414699143347,0.0,-0.2978414699143347,0.08328520295957738,-0.38112667287391205,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_cDC1,0.2871062249960864,0.0,0.2871062249960864,0.12728534959845877,0.15982087539762763,0.0,True,300.0
CD4-Tcell_FH,CD8-Tcell_proliferating,0.28709837976363384,0.0,0.28709837976363384,0.2168934097682216,0.07020496999541223,0.0,True,300.0
CD8-Tcell_proliferating,Erythrocyte_precursor,-0.2870672144446874,0.0,-0.2870672144446874,0.21916108760827196,-0.5062283020529594,0.0,True,300.0
Bcell_memory,CD8-Tcell_effector,-0.28674012541808086,0.0,-0.28674012541808086,0.08747745917983318,-0.37421758459791404,0.0,True,300.0
Bcell_memory,CD8-Tcell_proliferating,0.2848377786555001,0.0,0.2848377786555001,0.09975133493314889,0.1850864437223512,0.0,True,300.0
CD8-Tcell_terminal,Erythrocyte,-0.27918889119953993,0.0,-0.27918889119953993,-0.09011178296766635,-0.18907710823187357,0.0,True,300.0
CD8-Tcell_proliferating,Fibroblast_stromal,-0.2763457176850239,0.0,-0.2763457176850239,0.22959372793351301,-0.5059394456185369,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,CD8-Tcell_late-active,0.2722950394584164,0.0,0.2722950394584164,0.31336650244098596,-0.041071462982569584,0.0,True,300.0
