cell_type_1,cell_type_2,effect_size,p_value,mean_I_infected,mean_I_uninfected,delta_I,p_adj_fdr,significant,neg_log10_padj
CD8-Tcell_effector,Myeloid_marginalzone,0.4384338457140424,0.0,0.4384338457140424,0.323289708576622,0.11514413713742044,0.0,True,300.0
CD8-Tcell_effector,Myeloid_cDC1,0.33088935261390595,0.0,0.33088935261390595,0.22435962238253637,0.10652973023136958,0.0,True,300.0
CD8-Tcell_effector,Myeloid_monocyte,0.32993038753933923,0.0,0.32993038753933923,0.25207617532750143,0.0778542122118378,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_marginalzone,-0.3263966833163138,0.0,-0.3263966833163138,0.2420493395038751,-0.5684460228201889,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_migratory,0.32634172387738125,0.0,0.32634172387738125,0.3866439819542069,-0.060302258076825654,0.0,True,300.0
CD8-Tcell_effector,Myeloid_Macrophage-CXCL9/10,0.314727407343271,0.0,0.314727407343271,0.21657894461112218,0.0981484627321488,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_marginalzone,-0.3087449656946202,0.0,-0.3087449656946202,-0.0503760507873999,-0.25836891490722025,0.0,True,300.0
CD8-Tcell_effector,Myeloid_migratory,-0.2978414699143347,0.0,-0.2978414699143347,0.08328520295957738,-0.38112667287391205,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_cDC1,0.2871062249960864,0.0,0.2871062249960864,0.12728534959845877,0.15982087539762763,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_marginalzone,-0.26266939993343386,0.0,-0.26266939993343386,-0.12602258510715486,-0.136646814826279,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_Macrophage-CXCL9/10,0.24974971632453924,0.0,0.24974971632453924,0.2615869333772725,-0.011837217052733273,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_Macrophage,0.24276779293359302,0.0,0.24276779293359302,0.174491558628664,0.06827623430492902,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_Macrophage-CXCL9/10,-0.23643129133796897,0.0,-0.23643129133796897,0.24652641877335124,-0.4829577101113202,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_marginalzone,0.2314604092949049,0.0,0.2314604092949049,0.22535780394106925,0.006102605353835666,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_Macrophage-CXCL9/10,-0.23107778124280448,0.0,-0.23107778124280448,0.2007552631592075,-0.431833044402012,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_monocyte,0.2186737603186622,0.0,0.2186737603186622,0.21780618076012195,0.000867579558540249,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Myeloid_moDC,0.2150703301677394,0.0,0.2150703301677394,0.0826779014374725,0.1323924287302669,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_moDC,-0.21114455406973476,0.0,-0.21114455406973476,0.23811275467581142,-0.44925730874554615,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_moDC-CXCL9/10,0.2105176033855924,0.0,0.2105176033855924,0.14149715309471503,0.06902045029087736,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_cDC1,-0.20435511299374096,0.0,-0.20435511299374096,0.19155951280811845,-0.39591462580185943,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_Macrophage-CXCL9/10,-0.19669208418159007,0.0,-0.19669208418159007,0.19903796877730928,-0.39573005295889935,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_cDC1,0.19208415479542246,0.0,0.19208415479542246,0.21173778141993205,-0.01965362662450959,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_Macrophage,-0.18963619657991326,0.0,-0.18963619657991326,0.1359174418822331,-0.32555363846214636,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_cDC1,-0.17877682689933977,0.0,-0.17877682689933977,0.01915740614892749,-0.19793423304826727,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_moDC,-0.1764412204903224,0.0,-0.1764412204903224,-0.017525346694491767,-0.15891587379583064,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_pDC,0.17219829484674903,0.0,0.17219829484674903,0.3215462486724335,-0.14934795382568444,0.0,True,300.0
CD8-Tcell_naive,Myeloid_marginalzone,-0.17204607584542647,0.0,-0.17204607584542647,-0.1194268509912608,-0.052619224854165675,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_migratory,-0.16931632469531066,0.0,-0.16931632469531066,0.30609251560367123,-0.4754088402989819,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_monocyte,-0.16744721375152402,0.0,-0.16744721375152402,0.009599069876485455,-0.17704628362800948,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_marginalzone,0.16444021463138492,0.0,0.16444021463138492,-0.033924324251697315,0.19836453888308223,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Myeloid_Macrophage,0.1641735236189492,0.0,0.1641735236189492,0.14173140360172376,0.022442120017225453,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_moDC,0.1522048740464642,0.0,0.1522048740464642,0.06049395370320153,0.09171092034326268,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_Macrophage,-0.14998126193357086,0.0,-0.14998126193357086,0.08256119977318169,-0.23254246170675255,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_Macrophage,0.14865376218884496,0.0,0.14865376218884496,0.23958318075492419,-0.09092941856607922,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_monocyte,-0.14175571352469105,0.0,-0.14175571352469105,-0.07432141660818893,-0.06743429691650211,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_Macrophage-CXCL9/10,0.13156312861236233,0.0,0.13156312861236233,0.2559905271709662,-0.12442739855860388,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_Macrophage-CXCL9/10,0.13072268981880975,0.0,0.13072268981880975,0.2569561396271326,-0.12623344980832285,0.0,True,300.0
CD8-Tcell_naive,Myeloid_moDC,-0.12215512001403736,0.0,-0.12215512001403736,-0.013632362010346837,-0.10852275800369052,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_cDC1,0.11859704320751546,0.0,0.11859704320751546,0.08041026946532452,0.03818677374219094,0.0,True,300.0
CD8-Tcell_effector,Myeloid_moDC-CXCL9/10,-0.11850854816712753,0.0,-0.11850854816712753,0.14844363587372084,-0.26695218404084836,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_DC2,0.10257636621604853,0.0,0.10257636621604853,0.22093241205200437,-0.11835604583595584,0.0,True,300.0
